Array,true:beta1,true:beta2,true:t_init,true:E_init,true:t_inflect,start:beta1,start:beta2,start:t_init,start:E_init,start:E_inflect,start:t_inflect
1,0,0.6575391219928861,2020-02-15,1,2020-03-23,0.5700000000000001,0.29909503017552197,2020-02-16,1,2020-03-23,2020-03-23
2,0.01,0.49445479549467564,2020-02-15,1,2020-03-23,2.22,0.15604902082122862,2020-03-02,1,2020-03-23,2020-03-23
3,0.02,0.13843775521963836,2020-02-15,1,2020-03-23,2.32,0.11401463067159057,2020-02-27,1,2020-03-23,2020-03-23
4,0.03,0.5521444082260132,2020-02-15,1,2020-03-23,2.1,0.530131479492411,2020-02-28,1,2020-03-23,2020-03-23
5,0.04,0.008148904889822006,2020-02-15,1,2020-03-23,1.96,0.34438527189195156,2020-03-04,1,2020-03-23,2020-03-23
6,0.05,0.3218499604612589,2020-02-15,1,2020-03-23,1.54,0.7470731094945222,2020-03-11,1,2020-03-23,2020-03-23
7,0.06,0.14426832590252162,2020-02-15,1,2020-03-23,0.36,0.5977464190218598,2020-02-16,1,2020-03-23,2020-03-23
8,0.07,0.01963335853070021,2020-02-15,1,2020-03-23,1.87,0.334123418899253,2020-03-12,1,2020-03-23,2020-03-23
9,0.08,0.05970250107347966,2020-02-15,1,2020-03-23,2.33,0.8084918106906116,2020-02-25,1,2020-03-23,2020-03-23
10,0.09,0.7655185032635927,2020-02-15,1,2020-03-23,0.8300000000000001,0.5860506678000093,2020-03-05,1,2020-03-23,2020-03-23
11,0.1,0.6010887704789639,2020-02-15,1,2020-03-23,0.71,0.9264395255595446,2020-02-24,1,2020-03-23,2020-03-23
12,0.11,0.19362287130206823,2020-02-15,1,2020-03-23,1.23,0.876169181196019,2020-02-19,1,2020-03-23,2020-03-23
13,0.12,0.1339543318375945,2020-02-15,1,2020-03-23,0.72,0.9781483456026763,2020-03-11,1,2020-03-23,2020-03-23
14,0.13,0.7328629633411765,2020-02-15,1,2020-03-23,2.14,0.91401660698466,2020-02-20,1,2020-03-23,2020-03-23
15,0.14,0.5962240014225245,2020-02-15,1,2020-03-23,1.3,0.7267719064839184,2020-03-01,1,2020-03-23,2020-03-23
16,0.15,0.32187532167881727,2020-02-15,1,2020-03-23,0.21,0.5039149126969278,2020-03-04,1,2020-03-23,2020-03-23
