beta1;beta2;t_inflect;alpha;gamma;delta;epsilon;psi;kappa1;kappa2;kappa3;omega;Ze;Zes;Zea;Zis;Zia;Zrp;v;phi;mu;N_0;E_init;t_init;loglik;loglik.se;rep;seed;start_beta1;start_beta2;start_tinflect;start_tinit;start_Einit
0.5;0.236853036;18344;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18309.40839;-321.3135553;0.063836077;1;101;0.5;0.18488226;18344;17/02/2020;1
0.5;0.18765755;18344;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18321.22786;-321.8616772;0.111674039;2;102;0.5;0.585800305;18344;17/02/2020;1
0.5;0.222076974;18344;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18319.22853;-320.9443514;0.049267895;3;103;0.5;0.606268298;18344;17/02/2020;1
0.5;0.215559667;18344;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18309.74519;-321.4016648;0.060098435;4;104;0.5;0.466295241;18344;17/02/2020;1
0.5;0.180515748;18344;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18304.55487;-322.8523424;0.101363138;5;105;0.5;0.507478203;18344;17/02/2020;1
0.5;0.20183733;18344;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18311.72848;-321.4516651;0.125980928;6;106;0.5;0.069360916;18344;17/02/2020;1
0.5;0.224465669;18344;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18311.18699;-321.1715907;0.062407328;7;107;0.5;0.254033731;18344;17/02/2020;1
0.5;0.21897084;18344;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18317.08835;-320.8929094;0.101815919;8;108;0.5;0.683110057;18344;17/02/2020;1
0.5;0.224603965;18344;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18318.29065;-320.8278644;0.11039134;9;109;0.5;0.822896315;18344;17/02/2020;1
0.5;0.333716398;18344;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18297.04706;-323.9539539;0.065177332;10;110;0.5;0.877521389;18344;17/02/2020;1
0.5;0.306134475;18344;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18311.25091;-321.9270668;0.045257073;1;401;0.5;0.168041526;18344;20/02/2020;1
0.5;0.312645726;18344;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18323.21681;-321.9941384;0.045203825;2;402;0.5;0.606268298;18344;20/02/2020;1
0.5;0.219995674;18344;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18318.09219;-321.0326946;0.085898041;3;403;0.5;0.221601397;18344;20/02/2020;1
0.5;0.254328343;18344;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18315.92242;-321.0571353;0.061569998;4;404;0.5;0.069360916;18344;20/02/2020;1
0.5;0.257927375;18344;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18312.69101;-321.0279183;0.09721869;5;405;0.5;0.602114044;18344;20/02/2020;1
0.5;0.251790655;18344;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18309.8871;-321.2473405;0.039593033;6;406;0.5;0.822896315;18344;20/02/2020;1
0.5;0.258884733;18344;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18313.99793;-320.967312;0.071370595;7;407;0.5;0.786114927;18344;20/02/2020;1
0.5;0.183391277;18344;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18313.40451;-321.9089438;0.089808523;8;408;0.5;0.292573958;18344;20/02/2020;1
0.5;0.187509039;18344;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18320.02431;-321.6576352;0.118960018;9;409;0.5;0.971750231;18344;20/02/2020;1
