beta1;beta2;t_inflect;alpha;gamma;delta;epsilon;psi;kappa1;kappa2;kappa3;omega;Ze;Zes;Zea;Zis;Zia;Zrp;v;phi;mu;N_0;E_init;t_init;loglik;loglik.se;rep;seed;start_beta1;start_beta2;start_tinflect;start_tinit;start_Einit
0.1;0.272362598;18340;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18317.60969;-349.2547652;1.516247443;1;101;0.1;0.18488226;18340;2020-02-17;1
0.1;0.30869387;18340;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18313.17051;-350.2765215;0.779779514;2;102;0.1;0.585800305;18340;2020-02-17;1
0.1;0.271894939;18340;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18307.39095;-346.2134919;3.67847066;3;103;0.1;0.606268298;18340;2020-02-17;1
0.1;0.409754079;18340;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18304.90141;-345.49773;2.856892496;4;104;0.1;0.466295241;18340;2020-02-17;1
0.1;0.225643991;18340;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18322.75939;-355.3454782;1.482544442;5;105;0.1;0.507478203;18340;2020-02-17;1
0.1;0.086092416;18340;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18303.64241;-397.7086827;2.682164364;6;106;0.1;0.069360916;18340;2020-02-17;1
0.1;0.305048293;18340;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18294.91565;-350.4534011;0.800031419;7;107;0.1;0.254033731;18340;2020-02-17;1
0.1;0.2273667;18340;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18309.78991;-356.15662150000003;1.666981779;8;108;0.1;0.683110057;18340;2020-02-17;1
0.1;0.220058903;18340;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18318.26551;-355.5336197;0.805917188;9;109;0.1;0.822896315;18340;2020-02-17;1
0.1;0.275426977;18340;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18314.59814;-351.0552508;0.58507809;10;110;0.1;0.877521389;18340;2020-02-17;1
0.1;0.485837815;18340;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18314.95361;-349.1349109;0.370340992;1;401;0.1;0.168041526;18340;2020-02-20;1
0.1;0.300652816;18340;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18304.75717;-349.6334342;0.857591508;2;402;0.1;0.606268298;18340;2020-02-20;1
0.1;0.301767966;18340;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18306.90693;-350.0944335;0.489265755;3;403;0.1;0.221601397;18340;2020-02-20;1
0.1;0.061487988;18340;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18318.88187;-413.6891923;0.994841818;4;404;0.1;0.069360916;18340;2020-02-20;1
