beta1;beta2;t_inflect;alpha;gamma;delta;epsilon;psi;kappa1;kappa2;kappa3;omega;Ze;Zes;Zea;Zis;Zia;Zrp;v;phi;mu;N_0;E_init;t_init;loglik;loglik.se;rep;seed;start_beta1;start_beta2;start_tinflect;start_tinit;start_Einit
0.1;0.22532947042629778;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;3.084946213788308;18319;-361.93849926651365;1.7784424071792282;1;336043837;0.1;0.18488225992769003;18344;18319;1
0.1;0.26252142963605757;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;17.29291963755668;18319;-353.3077274621091;0.5766997274220367;2;336043838;0.1;0.5858003050088882;18344;18319;1
0.1;0.2141806356096103;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;9.191740260683464;18319;-359.25561276508546;1.7550711695200767;3;336043839;0.1;0.6062682976480573;18344;18319;1
0.1;0.2121128096778696;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;3.478352923508248;18319;-366.53191243221926;0.6002866236014567;4;336043840;0.1;0.46629524137824774;18344;18319;1
0.1;0.4140887835495525;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;15.63329884132482;18319;-352.65641893368917;2.3189350820194585;5;336043841;0.1;0.5074782031588256;18344;18319;1
0.1;0.30639342244864304;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;7.300993286946273;18319;-356.6487759945838;0.30936645040075184;6;336043842;0.1;0.06936091580428183;18344;18319;1
0.1;0.2816733412786492;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;6.0802701434335615;18319;-355.5050945480187;1.7996733357627035;7;336043843;0.1;0.25403373106382787;18344;18319;1
0.1;0.23059896916252612;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;8.435293153185226;18319;-358.4671516035953;2.0279306342021832;8;336043844;0.1;0.6831100566778332;18344;18319;1
0.1;0.26000688852643633;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;14.724231073178027;18319;-356.355603492368;0.6235553900037059;9;336043845;0.1;0.8228963147848845;18344;18319;1
0.1;0.21980460949630704;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;13.136998980302907;18319;-359.0051972256362;0.7547440751268572;10;336043846;0.1;0.8775213886983693;18344;18319;1
