beta1;beta2;t_inflect;alpha;gamma;delta;epsilon;psi;kappa1;kappa2;kappa3;omega;Ze;Zes;Zea;Zis;Zia;Zrp;v;phi;mu;N_0;E_init;t_init;loglik;loglik.se;rep;seed;start_beta1;start_beta2;start_tinflect;start_tinit;start_Einit
0.1;0.21724387915414722;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;15.1711932579766;18326;-351.4201742833288;1.5661432385858935;1;336172245;0.1;0.18488225992769003;18344;18326;1
0.1;0.31152572085960045;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;11.159179288498319;18326;-351.08468948106076;0.7705706576318718;2;336172246;0.1;0.5858003050088882;18344;18326;1
0.1;0.26368233638568556;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;17.285365558372494;18326;-347.134777126162;3.8008550175611444;3;336172247;0.1;0.6062682976480573;18344;18326;1
0.1;0.19021761389789962;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;8.621164035984277;18326;-358.4410932353567;1.601623533614921;4;336172248;0.1;0.46629524137824774;18344;18326;1
0.1;0.13751713705764942;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;14.653536034697842;18326;-360.9572585434197;1.7393014323135978;5;336172249;0.1;0.5074782031588256;18344;18326;1
0.1;0.22807008873472162;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;11.334410293219804;18326;-355.00093682280135;0.45756473078881504;6;336172250;0.1;0.06936091580428183;18344;18326;1
0.1;0.2800003110417692;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;6.1697644908401355;18326;-353.96739571241227;0.6240345720011656;7;336172251;0.1;0.25403373106382787;18344;18326;1
0.1;0.18759593095277746;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;16.75261837741036;18326;-352.52487094025696;0.9406393621142445;8;336172252;0.1;0.6831100566778332;18344;18326;1
0.1;0.3295369444743356;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;4.476180861717743;18326;-357.7155558708224;0.4533582587052591;9;336172253;0.1;0.8228963147848845;18344;18326;1
0.1;0.30043069750256884;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;11.970670843316531;18326;-348.93455485058803;0.6569111342892311;10;336172254;0.1;0.8775213886983693;18344;18326;1
0.1;0.28269562998196157;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;17.411537958488474;18326;-349.6852900099798;0.4509429095018636;1;336182145;0.1;0.27724979422055185;18344;18326;10
0.1;0.21813717493161452;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;13.400582573877855;18326;-352.95108479874614;2.8303268276921396;2;336182146;0.1;0.3042768354061991;18344;18326;10
0.1;0.4308018522674694;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;5.3035032749639495;18326;-355.0155750134408;3.0818401220272587;3;336182147;0.1;0.44594047917053103;18344;18326;10
0.1;0.22662090186951717;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;19.349150654685353;18326;-350.2834129508449;2.3267326560497694;4;336182148;0.1;0.7434177638497204;18344;18326;10
0.1;0.2537053353765978;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;7.170388370500685;18326;-351.6374026008786;3.1673154219962947;5;336182149;0.1;0.5478135161101818;18344;18326;10
0.1;0.25083825845140906;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;8.21781265288365;18326;-353.7787479435786;0.7339539893999495;6;336182150;0.1;0.9899365748278797;18344;18326;10
0.1;0.2893959332008927;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;11.632677558984032;18326;-351.29705765644366;0.5720270797363223;7;336182151;0.1;0.29128384147770703;18344;18326;10
0.1;0.3345253567895797;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;14.567820413468043;18326;-348.2537606278314;2.5447929934550175;8;336182152;0.1;0.4105012849904597;18344;18326;10
0.1;0.3334939876150184;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;14.783215464601112;18326;-349.6540735304568;0.5003547272859414;9;336182153;0.1;0.5847118515521288;18344;18326;10
0.1;0.3417407523475523;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;16.835348766721616;18326;-348.6334809619005;0.2986673397189391;10;336182154;0.1;0.614548999350518;18344;18326;10
0.1;0.27622465868410007;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;8.241678603661608;18326;-352.08088700427646;1.6905788303843043;1;336172545;0.1;0.16804152633994818;18344;18326;2
