beta1;beta2;t_inflect;alpha;gamma;delta;epsilon;psi;kappa1;kappa2;kappa3;omega;Ze;Zes;Zea;Zis;Zia;Zrp;v;phi;mu;N_0;E_init;t_init;loglik;loglik.se;rep;seed;start_beta1;start_beta2;start_tinflect;start_tinit;start_Einit
0.02513595684269363;0.29566663826775325;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;34.356223490294724;18312;-374.7561603975866;0.8057729610792271;1;101;0.01;0.18488225992769003;18344;18312;1
0.007325696131954061;0.7708820480590343;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;347.53165810056845;18312;-359.8367153340013;0.3841056216736775;2;102;0.01;0.5858003050088882;18344;18312;1
0.018532110279034602;0.4088657031123236;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;351.9908359594425;18312;-370.5332849229934;2.3400082992137947;3;103;0.01;0.6062682976480573;18344;18312;1
0.011266798909940638;0.8234066091245901;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;296.7159185599366;18312;-359.1829304829745;0.16133052252015492;4;104;0.01;0.46629524137824774;18344;18312;1
0.13911915921130888;0.30728345267417545;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;6.066297809241937;18312;-347.60285748162806;2.5685355616027503;5;105;0.01;0.5074782031588256;18344;18312;1
0.008409124878561882;0.5017000165307978;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1775.0552493341684;18312;-369.03698132943964;0.6097920722762243;6;106;0.01;0.06936091580428183;18344;18312;1
0.0038772292292738237;1.2481302143263766;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;457.2924632783469;18312;-354.77445346463503;0.21379332830474038;7;107;0.01;0.25403373106382787;18344;18312;1
0.004315612091568391;0.7152732090313811;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;820.6486292683788;18312;-361.8428049154395;0.4287516318943662;8;108;0.01;0.6831100566778332;18344;18312;1
0.001861842661845677;0.8713079590063698;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;6524.566002051059;18312;-360.0738890874958;0.35902035463554377;9;109;0.01;0.8228963147848845;18344;18312;1
0.006815620924012297;0.38584969695653626;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;2788.9495622721797;18312;-375.338737410001;0.29393336653712016;10;110;0.01;0.8775213886983693;18344;18312;1
0.03262073691481024;0.2177263247668872;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;166.92636487264048;18312;-375.5810504051393;0.9581331295829125;1;10001;0.01;0.27724979422055185;18344;18312;10
