beta1;beta2;t_inflect;alpha;gamma;delta;epsilon;psi;kappa1;kappa2;kappa3;omega;Ze;Zes;Zea;Zis;Zia;Zrp;v;phi;mu;N_0;E_init;t_init;loglik;loglik.se;rep;seed;start_beta1;start_beta2;start_tinflect;start_tinit;start_Einit
0.01262479228440923;0.29177715708361557;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;11.094599874070648;18326;-375.287290130799;1.1890951037161237;1;101;0.01;0.18488225992769003;18344;18326;1
0.0023174025121029808;0.21862083433815363;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;12.210522769987888;18326;-386.5215088330142;1.3288005300258352;2;102;0.01;0.5858003050088882;18344;18326;1
0.014292931143869668;0.3452634754883417;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;18.011419517553524;18326;-369.36780688072315;2.883948418384976;3;103;0.01;0.6062682976480573;18344;18326;1
0.008851247200311992;0.275947507311206;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;5.660615321330152;18326;-386.02456784703776;0.9821960053974571;4;104;0.01;0.46629524137824774;18344;18326;1
0.8580119685063086;0.2407592687715158;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;3.7444547581578305;18326;-313.2930679952466;0.010919241713012772;5;105;0.01;0.5074782031588256;18344;18326;1
0.012864600288260543;0.2483230293593679;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;15.85150582709285;18326;-375.6054714194272;3.5634568978143597;6;106;0.01;0.06936091580428183;18344;18326;1
1.1692546655626626;0.18526784678368344;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1.177749486254606;18326;-311.71612855268233;0.010920144714918702;7;107;0.01;0.25403373106382787;18344;18326;1
0.015071697938417635;0.3343338569594528;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;27.188307521703145;18326;-367.2269548510851;1.6085568476794376;8;108;0.01;0.6831100566778332;18344;18326;1
0.006289378702304482;0.2953792040060363;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;12.222172336585396;18326;-375.50337910938435;0.8727974220101958;9;109;0.01;0.8228963147848845;18344;18326;1
0.03969610828097531;0.22041815171490933;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;14.799779617390884;18326;-367.8841053138905;1.909645063869807;10;110;0.01;0.8775213886983693;18344;18326;1
