beta,alpha,gamma,delta,epsilon,psi,kappa1,kappa2,kappa3,omega,Ze,Zes,Zea,Zis,Zia,Zrp,v,phi,mu,N_0,E_init,t_init,loglik,loglik.se,rep,seed,start_beta,start_Einit,start_tinit
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,413.29492407950613,18312,-425.32992843845545,0.6839119790585619,1,1000100,0.01,1,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,75604.00659372915,18312,-425.66953899955286,0.41880173033690465,2,2000100,0.01,1,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,3498.296603161074,18312,-420.06689867915225,4.081859722968413,3,3000100,0.01,1,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,2080.787493152934,18312,-424.76888049741325,0.6819740754893772,4,4000100,0.01,1,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1044.7195314615813,18312,-424.00210087997783,0.6280385443358559,5,5000100,0.01,1,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,906.7536724639688,18312,-424.4893297857967,0.4855132018126143,6,6000100,0.01,1,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,759.7791355467537,18312,-424.0939827209891,0.6553113631158749,7,7000100,0.01,1,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,481.37034832584334,18312,-424.83477281356863,0.4371559100409212,8,8000100,0.01,1,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1165.8602575145237,18312,-426.296838135076,0.19148293441220685,9,9000100,0.01,1,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,534.6993902167687,18312,-420.72880811494883,4.34238881518904,10,10000100,0.01,1,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,435.13450954447484,18312,-425.29218812502074,0.48820281570953067,1,1001000,0.01,10,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,509.8587912177209,18312,-425.83592120713485,0.40540685470325516,2,2001000,0.01,10,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,3700505.540511327,18312,-424.3427168788351,1.143488746348589,3,3001000,0.01,10,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,3123.858361563786,18312,-424.7656552873334,0.8426802534558323,4,4001000,0.01,10,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,78832.31490188162,18312,-423.71996278990883,0.5925299980812154,5,5001000,0.01,10,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,388.8453152100639,18312,-424.38814513980776,0.6850384035842562,6,6001000,0.01,10,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,957.0647698914503,18312,-425.30523987590993,0.3045876490887878,7,7001000,0.01,10,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,2661.0500373691198,18312,-425.8043973219779,0.4890576089678259,8,8001000,0.01,10,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,815.477747278304,18312,-424.7360662192801,0.9963075617510816,9,9001000,0.01,10,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1479.3391517695038,18312,-424.85783298924326,1.0477196563362818,10,10001000,0.01,10,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,6398.447919662112,18312,-422.7679231495433,1.3959933498645405,1,1001500,0.01,15,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1567.9776411422615,18312,-423.69492672059755,1.0432105762865718,2,2001500,0.01,15,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1205.750329068498,18312,-424.86600439967634,0.5895581598987893,3,3001500,0.01,15,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,2451.9727490362798,18312,-425.3079702008568,0.5791970978358078,4,4001500,0.01,15,18312
