beta,alpha,gamma,delta,epsilon,psi,kappa1,kappa2,kappa3,omega,Ze,Zes,Zea,Zis,Zia,Zrp,v,phi,mu,N_0,E_init,t_init,loglik,loglik.se,rep,seed,start_beta,start_Einit,start_tinit
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,17.656406191462573,18326,-478.2043846817657,0.8825395760904499,1,1000100,0.01,1,18326
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,16.76321576576462,18326,-482.33894067667114,0.8808062485497867,2,2000100,0.01,1,18326
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,21.343517730856995,18326,-477.0467231485644,1.2660119029431676,3,3000100,0.01,1,18326
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,357.3083929534469,18326,-369.993876002139,0.10783017441392734,4,4000100,0.01,1,18326
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,29.644313399001007,18326,-468.2720081951165,2.9837565935807437,5,5000100,0.01,1,18326
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,11265.464087488117,18326,-369.93755545991377,0.2481564902770875,6,6000100,0.01,1,18326
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,23.11181469356559,18326,-474.12757181629246,0.8570427753606243,7,7000100,0.01,1,18326
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,13.963566676569295,18326,-486.8264662654631,0.8002888036460304,8,8000100,0.01,1,18326
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,454.9081112076577,18326,-369.9646919139234,0.23711938227749027,9,9000100,0.01,1,18326
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,703.810592127514,18326,-370.0452755082014,0.2042164613900842,10,10000100,0.01,1,18326
