beta,alpha,gamma,delta,epsilon,psi,kappa1,kappa2,kappa3,omega,Ze,Zes,Zea,Zis,Zia,Zrp,v,phi,mu,N_0,E_init,t_init,loglik,loglik.se,rep,seed,start_beta,start_Einit,start_tinit
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,10,18301.219865250987,-516.6772918934172,3.4004557349373843,1,1000001,0.01,10,18293
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,10,18298.15956636155,-516.0707667085378,0.8279372112725705,2,2000001,0.01,10,18293
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,10,18337.78519013987,-473.56748776093644,1.9092597638612485,3,3000001,0.01,10,18293
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,10,18331.007831510706,-478.38376896849235,0.9289143865130947,4,4000001,0.01,10,18293
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,10,18310.13719562763,-505.1210824949575,3.831632368382379,5,5000001,0.01,10,18293
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,10,18329.166809200484,-484.60792863564103,0.6412486317345245,6,6000001,0.01,10,18293
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,10,18304.754745289312,-507.84167667421184,2.744194957034405,7,7000001,0.01,10,18293
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,10,18311.27081796559,-507.21064901855806,2.878658929684301,8,8000001,0.01,10,18293
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,10,18312.913501967563,-513.349733985827,1.074907057182826,9,9000001,0.01,10,18293
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,10,18338.430018460516,-470.036758600246,1.3998008416300418,10,10000001,0.01,10,18293
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,10,18338.22378610068,-469.2048342845659,4.507696084461854,1,1000010,0.01,10,18302
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,10,18327.942633387822,-482.218252232844,1.0257960477854644,2,2000010,0.01,10,18302
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,10,18299.83833675362,-515.5748120170483,1.5695206058827755,3,3000010,0.01,10,18302
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,10,18332.42544517509,-481.74865391051753,0.7347937654592144,4,4000010,0.01,10,18302
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,10,18336.54674339831,-464.87399172441064,4.155633575758091,5,5000010,0.01,10,18302
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,10,18310.549527214967,-499.2143788830751,6.579703174235294,6,6000010,0.01,10,18302
